01/12/2020;13;Piaggio;False;P-180 Avanti II;175
01/12/2020;13;Piper;False;PA-28 161 Cadet;1
01/12/2020;13;Piper;False;PA-28 181 Archer II;67
01/12/2020;13;Piper;False;PA-28 181 Archer III;1
01/12/2020;13;Piper;False;PA-28R 200 Cherokee Arrow;1
01/12/2020;13;Piper;False;PA-28R T-201 Arrow IV;1
01/12/2020;13;Reims/cessna;False;F150M;1
01/12/2020;13;Reims/cessna;False;F172M;1
01/12/2020;13;Reims/cessna;False;F172P;1
01/12/2020;13;Robin;False;DR.315 Petit Prince;1
01/12/2020;13;Robin;False;DR.400 120 Dauphin 2+2;1
01/12/2020;13;Robin;False;DR.400 120 Petit Prince;1
01/12/2020;13;Slingsby Aviation Ltd;False;SLINGSBY T67M MKII Firefly;1
01/12/2020;13;Swearingen;Flightline;Swearingen Metro III;1
01/12/2020;13;Tecnam;False;P.2002 Sierra;1
01/12/2020;13;Tecnam;False;P.2002 Sierra JF;1
01/12/2020;14;Agusta-bell;False;AB.206B Jet Ranger II;1
01/12/2020;14;Airbus;British Airways;A350-1041;1
01/12/2020;14;Airbus;False;A319 112;1
01/12/2020;14;Airbus;False;A320 214;1
01/12/2020;14;Airbus;False;A320 232SL;1
01/12/2020;14;Airbus;False;A330 203;361
01/12/2020;14;Airbus;False;A330 243;1
01/12/2020;14;Airbus;False;Airbus A321 211;1
01/12/2020;14;Aquila;False;AT-01 A-210;1
01/12/2020;14;Beech;False;Baron 58;375
01/12/2020;14;Boeing;Asl Airlines France S.a. - France;Boeing 737-48E (SF);1
01/12/2020;14;Boeing;Emirates Airlines;Boeing 777-36N(ER);1
01/12/2020;14;Boeing;False;737NG 7K2/W;1
01/12/2020;14;Boeing;False;737NG 85P/W;1
01/12/2020;14;Boeing;False;737NG 8K2/W;7685
01/12/2020;14;Boeing;False;737NG 958ER/W;1
01/12/2020;14;Boeing;False;767 34GER/W;1
01/12/2020;14;Boeing;False;777 306ER;1
01/12/2020;14;Boeing;False;777 31HER;1
01/12/2020;14;Boeing;False;Boeing 737NG 8K2/W;1
01/12/2020;14;Boeing;False;Boeing 777 300ER;1
